period,China PMI
Nov-23,49.4
Oct-23,49.5
Sep-23,50.2
Aug-23,49.7
Jul-23,49.3
Jun-23,49
May-23,48.8
Apr-23,49.2
Mar-23,51.9
Feb-23,52.6
Jan-23,50.1
Dec-22,47
Nov-22,47.8
Oct-22,49.2
Sep-22,48.1
Aug-22,49.5
Jul-22,50.4
Jun-22,51.7
May-22,48.1
Apr-22,46
Mar-22,48.1
Feb-22,50.4
Jan-22,49.1
Dec-21,50.9
Nov-21,49.9
Oct-21,50.6
Sep-21,50
Aug-21,49.2
Jul-21,50.3
Jun-21,51.3
May-21,52
Apr-21,51.9
Mar-21,50.6
Feb-21,50.9
Jan-21,51.5
Dec-20,53
Nov-20,54.9
Oct-20,53.6
Sep-20,53
Aug-20,53.1
Jul-20,52.8
Jun-20,51.2
May-20,50.7
Apr-20,49.4
Mar-20,50.1
Feb-20,40.3
Jan-20,51.1
Dec-19,51.5
Nov-19,51.8
Oct-19,51.7
Sep-19,51.4
Aug-19,50.4
Jul-19,49.9
Jun-19,49.4
May-19,50.2
Apr-19,50.2
Mar-19,50.8
Feb-19,49.9
Jan-19,48.3
Dec-18,49.7
Nov-18,50.2
Oct-18,50.1
Sep-18,50
Aug-18,50.6
Jul-18,50.8
Jun-18,51
May-18,51.1
Apr-18,51.1
Mar-18,51
Feb-18,51.6
Jan-18,51.5
Dec-17,51.5
Nov-17,50.8
Oct-17,51
Sep-17,51
Aug-17,51.6
Jul-17,51.1
Jun-17,50.4
May-17,49.6
Apr-17,50.3
Mar-17,51.2
Feb-17,51.7
Jan-17,51
Dec-16,51.9
Nov-16,50.9
Oct-16,51.2
Sep-16,50.1
Aug-16,50
Jul-16,50.6
Jun-16,48.6
May-16,49.2
Apr-16,49.4
Mar-16,49.7
Feb-16,48
Jan-16,48.4
Dec-15,48.2
Nov-15,48.6
Oct-15,48.3
Sep-15,47.2
Aug-15,47.3
Jul-15,47.8
Jun-15,49.4
May-15,49.2
Apr-15,48.9
Mar-15,49.6
Feb-15,50.7
Jan-15,49.7
Dec-14,49.6
Nov-14,50
Oct-14,50.4
Sep-14,50.2
Aug-14,50.2
Jul-14,51.7
Jun-14,50.7
May-14,49.4
Apr-14,48.1
Mar-14,48
Feb-14,48.5
Jan-14,49.5
Dec-13,50.5
Nov-13,50.8
Oct-13,50.9
Sep-13,50.2
Aug-13,50.1
Jul-13,47.7
Jun-13,48.2
May-13,49.2
Apr-13,50.4
Mar-13,51.6
Feb-13,50.4
Jan-13,52.3
Dec-12,51.5
Nov-12,50.5
Oct-12,49.5
Sep-12,47.9
Aug-12,47.6
Jul-12,49.3
Jun-12,48.2
May-12,48.4
Apr-12,49.3
Mar-12,48.1
Feb-12,48.8
